writer,article,likes,replys_count,replys,datetime,img,tags
wl5965,향이 너무 조아~^^ 나도 모르게 사고있었다는...키치 샴푸 피부 언넝 나아라 빨리 써보고싶다#강아지샴푸 #강아지샴푸추천 #애견샴푸 #애견샴푸추천 #내츄럴센트 #향기좋은샴푸,3,1,'0',2017-12-11 00:55,https://scontent-icn1-1.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/24331586_143422726313706_1328788629987786752_n.jpg,"'#강아지샴푸', '#강아지샴푸추천', '#애견샴푸', '#애견샴푸추천', '#내츄럴센트', '#향기좋은샴푸'"
join.u_s,"#애슐리크레이그쇼살롱스파 구매대행 문의 주세요^^애슐리크레이그란?미국에 본사를 두고 있으며 200년 역사를 자랑하는반려동물 미용용품 프리미엄 브랜드입니다미국은 물론 유럽 애견 전문가들 사이에 입소문을 타면서꾸준한 사랑을 받고 있는 브랜드이고요대표 제품 ‘그레이하운드’ 빗은 3대에 걸친 장인들이11회 수작업 공정을 통해 제작하고 있으며,약 100년 동안 한 번도 제작 공정이 변한 적이 없고또 프리미엄 샴푸인 쇼살롱 스파, 에센셜 라인들을 비롯해빗, 가위, 나이프 등 다양한 미용용품을 선보이고 있습니다••#애슐리크레이그쇼살롱스파 구매대행 문의 주세요^^쇼독 들이 사용한다는 제품털 관리에 아주아주 기가 막히는 제품이죠화학성분 없이 식물성 재료로 안전하고 순해수유 중인 반려견도 사용이 가능 합니다가격은 한국의 절반 가격 예상하시면 될 거예요KAKAO ID 👉🏻 joinusa••#애슐리크레이그 #에슐리크레이그 #그루밍도그 #그루밍 #AshelyCraig #펫샴푸 #애견샴푸 #강아지샴푸 #강아지금샴푸 #펫천연샴푸 #강아지천연샴푸 #강아지털관리 #쇼살롱스파 #애슐리크레이그샴푸 #애슐리크레이그쇼살롱스파 #애슐리크레이그쇼살롱스파라인 #강아지샴푸추천 #애견샴푸추천 #반려견샴푸 #반려견샴푸추천 #구매대행 #직구 #해외바잉 #해외직구 #해외구매대행 #바잉 #강아지용품 #강아지용품구매대행 #펫용품 #금샴푸",25,1,'0',2017-12-11 00:06,https://scontent-icn1-1.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/24331586_143422726313706_1328788629987786752_n.jpg,"'#애슐리크레이그쇼살롱스파', '#애슐리크레이그쇼살롱스파', '#애슐리크레이그', '#에슐리크레이그', '#그루밍도그', '#그루밍', '#AshelyCraig', '#펫샴푸', '#애견샴푸', '#강아지샴푸', '#강아지금샴푸', '#펫천연샴푸', '#강아지천연샴푸', '#강아지털관리', '#쇼살롱스파', '#애슐리크레이그샴푸', '#애슐리크레이그쇼살롱스파', '#애슐리크레이그쇼살롱스파라인', '#강아지샴푸추천', '#애견샴푸추천', '#반려견샴푸', '#반려견샴푸추천', '#구매대행', '#직구', '#해외바잉', '#해외직구', '#해외구매대행', '#바잉', '#강아지용품', '#강아지용품구매대행', '#펫용품', '#금샴푸'"
my_little_elves,🌱#별간식 #칼질하다 #손꾸락 #빙신 될 뻔😅..#언니만병원에보내는게아니였는데..#음성통화도하고 #영상통화도했는데..#왜 #컨디셔너가아니고 #린스냐궁??😡#발작약 #안약 #다욧처방사료 #애견샴푸 #더티전용 #애견린스 #협성 #협성로하스 #덴티츄 #열칼질 #굿 #원주 #17년째 #늘푸른종합동물병원 #개집사 #개육아 #충주 #야참녀와삼둥개 #20171210일.,24,8,"(1, 'soyeon6996', '저 별간식은 모에요? 짱구가 즐겨먹는 초코비랑 비슷해용😄 ㅋㅋㅋ린스랑 컨디셔너랑 저두 가끔 헷갈릴때가..'), (2, 'younsuk2086', '고생했다~~노즈워크용으로 딱인데 ㅎㅎㅎ 린스나 컨디셔너나 비슷한거 아녀?'), (3, 'bahmbahmy', '대단해용!!!'), (4, 'my_little_elves', '@bahmbahmy 이번껀 다행히 덜 딱딱했어요~~ㅎㅎ'), (5, 'my_little_elves', '@younsuk2086 컨디셔너가 더 좋은걸로 알고있는데 아닌가?? 사람꺼도 린스랑 컨디셔너 따로있잖아~~ 아 몰라몰라😭😭ㅎㅎ 린스는 거의 안써봐서~ 협성컨디셔너만 사용하다보니 ㅎㅎ'), (6, 'my_little_elves', '@soyeon6996 덴티츄라고 애기들 덴탈케어간식이야~~ 길게 츄러스같은 모양인데 자른거야 ㅎㅎ 내가 거의 컨디셔너만 사용해서~~ㅎㅎ'), (7, 'guruem2', '와...간식들을 다 직접하시나요? 정성이 😀 너무너무깜찍해요별간식⭐'), (8, 'my_little_elves', '@guruem2 아이고 아녜요~~ 저건 츄러스처럼 생긴 덴티츄인데 그냥 얇게 썰기만했어요~~ㅎㅎ 이뿌죵?? 닭발 똥집 이런것만 만들어먹여요😊')",2017-12-10 08:03,https://scontent-icn1-1.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/24331586_143422726313706_1328788629987786752_n.jpg,"'#별간식', '#칼질하다', '#손꾸락', '#빙신', '#언니만병원에보내는게아니였는데', '#음성통화도하고', '#영상통화도했는데', '#왜', '#컨디셔너가아니고', '#린스냐궁??😡', '#발작약', '#안약', '#다욧처방사료', '#애견샴푸', '#더티전용', '#애견린스', '#협성', '#협성로하스', '#덴티츄', '#열칼질', '#굿', '#원주', '#17년째', '#늘푸른종합동물병원', '#개집사', '#개육아', '#충주', '#야참녀와삼둥개', '#20171210일'"
doodleshop_seoul,"🐶#겨울이벤트추운 날씨로 뒤집어지는 개린이들의 피부를 위하여!두들샵 미용실의 ⭐️특 별⭐️ 서비스입니다!😘두들샵 미용서비스를이용하는 개린이들에게‘천연 디바인펫츠 티트리 컨디셔너’ 린싱을 적용해드립니다! 🌿-> 티트리오일,유칼립투스,로즈마리,라벤더 성분으로수분,보습,진정,릴렉싱을 도와줍니다🐶💕💟 적용 서비스 컨디셔너 재고 소진 시, 이벤트 종료됩니다.-디바인펫츠 컨디셔너는 잔향도 너무 좋아요 👌☺️천연 허브오일을 베이스로자몽추출물과 코코넛오일을 사용하고화학적 계면활성제는 사용하지않아요-🙅🏻‍♀️!!!강아지,고양이,햄스터,토끼 등 모두 사용가능합니다💖그만큼 순하다는 뜻이겠죠~~?😉..#두들샵#천연컨디셔너#천연샴푸#샴푸추천#애견샴푸#반려견#목욕서비스#겨울목욕#컨디셔너#애견컨디셔너#디바인펫츠#서울숲#가위컷#가위컷전문#애견호텔#데이케어#왕십리애견미용#성수동애견호텔#이벤트#성수동애견미용#갤러리아포레#트리마제#불독#치와와#말티즈#시츄#요크셔테리어#강아지피부병",31,1,'0',2017-12-08 11:49,https://scontent-icn1-1.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/24331586_143422726313706_1328788629987786752_n.jpg,"'#겨울이벤트추운', '#두들샵', '#천연컨디셔너', '#천연샴푸', '#샴푸추천', '#애견샴푸', '#반려견', '#목욕서비스', '#겨울목욕', '#컨디셔너', '#애견컨디셔너', '#디바인펫츠', '#서울숲', '#가위컷', '#가위컷전문', '#애견호텔', '#데이케어', '#왕십리애견미용', '#성수동애견호텔', '#이벤트', '#성수동애견미용', '#갤러리아포레', '#트리마제', '#불독', '#치와와', '#말티즈', '#시츄', '#요크셔테리어', '#강아지피부병'"
sonnarae_gongbang,우리 지구를 위해~순한 샴푸를 만들었어요~향도 순하고~ 부드럽네요~#웰시코기 #강아지 #반려견 #애견샴푸 #아로마테라피 #강아지샴푸 #손나래공방blog.naver.com/stirite,12,2,"(1, 'daldal.mom', '애완아이들 소통해요~'), (2, 'newhero_kennel', '반갑습니다.서로 소통해요😊')",2017-12-08 02:28,https://scontent-icn1-1.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/24331586_143422726313706_1328788629987786752_n.jpg,"'#웰시코기', '#강아지', '#반려견', '#애견샴푸', '#아로마테라피', '#강아지샴푸', '#손나래공방blog'"
ansgml618,강아지목욕시키는게너무힘들다내몸이힘들어서가아니라강아지가너무힘들어하고 지처해서그모습을보는게너무힘들다 나만힘들게할수잇음 다섯시간이어도참겟는데처음엔 눈스르르감고 혓바닥낼름거리는것이 편하고 졸린건줄알앗는데 아니라는걸알고 세상에 목욕미용좋아하는강아지는단하나도없을거다 체념하는거다라고들엇을때충격+미안함은가시질않앗당 그래서전문미용샾을택한거고 30분이면되니까 집에서하면 적어도2시간정도는걸리기때문에 스트레스를줄이려고햇는데 갓다올때마다스트레스를더받아하는거같아서 다시집에서샴푸해주기러맘먹어따.. ㅜㅠ평생숙제가될듯미용샾에서일하시는분들 정말대단하다고생각한다  스트레스받지않고샴푸하고미용시킬수있는날이빨리오기를 울강쥐는유난예민한편도아니고잘버텨하는데 내가잘못생각햇던거가틈..미안한맘이너무크당 좋은정보많이나눠욤#비숑 #비숑프리제 #애견샴푸 #애견미용 #댕댕이 반려견 #강쥐스타그램 #멍멍이 #뽀뽀 #아기비숑 #아기보다키우기힘든것이강아지#스트레스받지말자 #아가미안해,49,10,"(1, 'mingmingaaaaa', '아이바보시키 말졸라만네 여린놈의시키....이무니💓'), (2, 'choung_k', '언니 최선의 방법은 다리털을 밀어요,,ㅋㅋㅋㅋㅋㅋ샾에서도 다 빗질들어가려면 미용사도 개도 수트레스..집에서 싯겼을때 간단할 미용으로 다시 해유'), (3, 'buddydogs7777', '자주 소통해요 우리! 오늘도 즐거운 하루 보내세요'), (4, 'ansgml618', '@mingmingaaaaa 개챙피...ㅠ♡ㅋㅋㅋㅋ'), (5, 'ansgml618', '@choung_k  청아 ㅠㅠ어캐일하고육아해 난몬해 ㅠㅠㅠㅠ 대단해지짜 👍👍👍👍👍👍멋있움'), (6, 'ansgml618', '@buddydogs7777 넵'), (7, 'minang__', '목욕 좋은거라구 인식해주면서 말릴땐 간식도 주고 장난도쳐주고 하면 애기가 좋아해! 강아지는 뭐든 다 한 후에 간식같은게 있으면 좋아!'), (8, 'ansgml618', '@minang__ 간식도줘보공 장난감도줘봣는데 그래도버거워하는거같아 ㅠㅠ'), (9, 'kkandolmam_', '강아지 목욕시키는건 사람하고 같이 살아가기위해서래ㅠ 너무 싫어하면2주에한번 씻겨도 강아지 건강에 이상 무 라니깐 참고해^^;;'), (10, 'ansgml618', '@kkandolmam_ 고마워 나도되도록이주에한번싯기도롯해야지 산책시킬때너무뒹구러서 드러버짐 ㅠㅠ')",2017-12-07 16:59,https://scontent-icn1-1.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/24331586_143422726313706_1328788629987786752_n.jpg,"'#비숑', '#비숑프리제', '#애견샴푸', '#애견미용', '#댕댕이', '#강쥐스타그램', '#멍멍이', '#뽀뽀', '#아기비숑', '#아기보다키우기힘든것이강아지', '#스트레스받지말자', '#아가미안해'"
hyunyi__ii,"🐶개인적으로 참 좋아하는 브랜드제품이라겨울되면 꼭 하고싶던 서비스이벤트에오❣️정말 쓸수록 괜찮은 제품인거같아용-🙂잔향이 일단 개린이들도 좋아하고 나두좋구~~~💕뭐 ..물론 볼륨빵빵을 도와주는건 기대하진마세용..그런 제품을 애용하진 않아서요 ㅎㅎ🤣피모 건강을 위한 컨디셔너 입니다.-#두들샵이벤트추운 날씨로 뒤집어지는 개린이들의 피부를 위하여!두들샵 미용실의 ⭐️특 별⭐️ 서비스입니다!😘두들샵 미용서비스를이용하는 개린이들에게‘천연 디바인펫츠 티트리 컨디셔너’ 린싱을 적용해드립니다! 🌿-> 티트리오일,유칼립투스,로즈마리,라벤더 성분으로수분,보습,진정,릴렉싱을 도와줍니다🐶💕💟 적용 서비스 컨디셔너 재고 소진 시, 이벤트 종료됩니다.-디바인펫츠 컨디셔너는 잔향도 너무 좋아요 👌☺️천연 허브오일을 베이스로자몽추출물과 코코넛오일을 사용하고화학적 계면활성제는 사용하지않아요-🙅🏻‍♀️!!!강아지,고양이,햄스터,토끼 등 모두 사용가능합니다💖그만큼 순하다는 뜻이겠죠~~?😉..#두들샵#천연컨디셔너#천연샴푸#샴푸추천#애견샴푸#반혀견#목욕서비스#겨울목욕#컨디셔너#애견컨디셔너#디바인펫츠#서울숲#가위컷#가위컷전문#애견호텔#데이케어#왕십리애견미용#성수동애견호텔#이벤트#성수동애견미용#갤러리아포레#트리마제",21,1,'0',2017-12-07 13:38,https://scontent-icn1-1.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/24331586_143422726313706_1328788629987786752_n.jpg,"'#두들샵이벤트추운', '#두들샵', '#천연컨디셔너', '#천연샴푸', '#샴푸추천', '#애견샴푸', '#반혀견', '#목욕서비스', '#겨울목욕', '#컨디셔너', '#애견컨디셔너', '#디바인펫츠', '#서울숲', '#가위컷', '#가위컷전문', '#애견호텔', '#데이케어', '#왕십리애견미용', '#성수동애견호텔', '#이벤트', '#성수동애견미용', '#갤러리아포레', '#트리마제'"
doodleshop_seoul,"🐶#겨울이벤트추운 날씨로 뒤집어지는 개린이들의 피부를 위하여!두들샵 미용실의 ⭐️특 별⭐️ 서비스입니다!😘두들샵 미용서비스를이용하는 개린이들에게‘천연 디바인펫츠 티트리 컨디셔너’ 린싱을 적용해드립니다! 🌿-> 티트리오일,유칼립투스,로즈마리,라벤더 성분으로수분,보습,진정,릴렉싱을 도와줍니다🐶💕💟 적용 서비스 컨디셔너 재고 소진 시, 이벤트 종료됩니다.-디바인펫츠 컨디셔너는 잔향도 너무 좋아요 👌☺️천연 허브오일을 베이스로자몽추출물과 코코넛오일을 사용하고화학적 계면활성제는 사용하지않아요-🙅🏻‍♀️!!!강아지,고양이,햄스터,토끼 등 모두 사용가능합니다💖그만큼 순하다는 뜻이겠죠~~?😉..#두들샵#천연컨디셔너#천연샴푸#샴푸추천#애견샴푸#반려견#목욕서비스#겨울목욕#컨디셔너#애견컨디셔너#디바인펫츠#서울숲#가위컷#가위컷전문#애견호텔#데이케어#왕십리애견미용#성수동애견호텔#이벤트#성수동애견미용#갤러리아포레#트리마제#불독#치와와#말티즈#시츄#요크셔테리어#강아지피부병",29,1,'0',2017-12-07 10:17,https://scontent-icn1-1.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/24331586_143422726313706_1328788629987786752_n.jpg,"'#겨울이벤트추운', '#두들샵', '#천연컨디셔너', '#천연샴푸', '#샴푸추천', '#애견샴푸', '#반려견', '#목욕서비스', '#겨울목욕', '#컨디셔너', '#애견컨디셔너', '#디바인펫츠', '#서울숲', '#가위컷', '#가위컷전문', '#애견호텔', '#데이케어', '#왕십리애견미용', '#성수동애견호텔', '#이벤트', '#성수동애견미용', '#갤러리아포레', '#트리마제', '#불독', '#치와와', '#말티즈', '#시츄', '#요크셔테리어', '#강아지피부병'"
jangmi.jung,2017.12.7안그래도 없는터럭이 다 끊기고뜯기고해서 직구로 부탁해서 받은 쇼시즌!!집에 샴푸 컨디셔너 딥클 남아도는데도좀 좋다고하면 안살수가없다~~마지막은 애슐리!!!기다리라😋좋다는건 왜 다 쓰는방법이 어려운지ㅠㅠ쇼시즌도 왜케 종류가많은지 뭐가뭔지하나도 모르겠다는😂네이년에도 요거3개는 정보가 없노😩암튼!!!보리털을 좀 지켜줘~~~초코이모~~사용할때 다시물어볼께요ㅋㅋ......#쇼시즌#애견샴푸#컨디셔너#딥클렌징#보리를지켜주개#개딸#배보리#보물1호,61,21,"(1, 'gimminjeong6058', '온니~~~ 잘도착하셨네요ㅎㅎㅎ요번은  꾸준히사용해보셔유ㅎㅎ 우리애들여태터럭잘지겨준효녀들이랍니당ㅎ 힘들시더라두 제가알켜준  방법으로꼭해보세요😊  홧팅요🤗🤗'), (2, 'bbutoo.sena45', '지름신왕림이가?ㅋㅋ보리 더 이뽀지겠넹'), (3, 'jangmi.jung', '@gimminjeong6058 사용할때 다시물어보고 써볼께요ㅋㅋㅋㅋ😊'), (4, 'jangmi.jung', '@bbutoo.sena45 요즘은 좀 뜸한데ㅋㅋㅋ보리털은 소중하니까 지켜줘야지😅'), (5, '_mir_mam', '보리터럭 더 멋져지겠는걸요~저는 흔하디 흔한 에센스만...😂😂😅요런것정도는 해줘야하는데 말이죵~'), (6, 'jangmi.jung', '@_mir_mam 털이 너무 없어져서 너무속상한데.. 야꼬가 너무 장난을치고 들이대니 털이 남아나질않아요ㅠㅠ미르는 워낙에 모량이많으니 그저부러워요~~~~😂'), (7, 'sane_love486', '좋은 샴푸는 공부해서 사용해야된다니 ㅋ 귀차니즘 심한 저는 포기에요\U0001f923 소중한 보꼬털 부탁행~'), (8, 'jadu_luv0419', '더이뻐질 보리💕💕찰랑찰랑 터럭으로 보리화이띵이요 ㅎㅎ'), (9, 'mongbboamam', '맞아요 딱 맞는거 찾기도 힘들고 방법도 어럽고'), (10, 'mandu.hodu', '네이년 ㅋㅋㅋㅋ 아놔\U0001f923\U0001f923'), (11, 'sasha.fari', 'So lifeful photo!'), (12, 'jangmi.jung', '@mandu.hodu 나쁜뇬😩😅'), (13, 'geniusdooboo', '저도 두부샴푸 좋다는것 몇가지는 희석하고 어쩌구해서  사용 안하게되고 그냥 바로 사용할수있는것만 자주이용하게되요~^^'), (14, 'bella__min', '애슐리도 강추! 쇼시즌 요거 써보구 알려주~~~😄😄'), (15, 'jangmi.jung', '@sane_love486 저도 귀차니즘 심한편인데 인내심을가지고 이것저것 써보긴한데 뭔가 백퍼만족이안되네요~~'), (16, 'jangmi.jung', '@jadu_luv0419 보리터럭이 너무 심하게 끊기고빠져서 너무속상해요ㅠㅠ'), (17, 'jangmi.jung', '@mongbboamam 진짜 이거좋다면 이거쓰고 저거좋다면 저거쓰고ㅠㅠ딱이다싶은게 왜케없는지😓'), (18, 'jangmi.jung', '@geniusdooboo 그쵸ㅠ어려븐건 잘안써지고 어쩌다쓰면 만족도도 잘모르겠고~~그러다보니 사재기만하게되요😂'), (19, 'jangmi.jung', '@bella__min 애슐리도 쓰는방법이 어렵던데 왜케 좋은건 다 어려운지~~단순한어매 느무힘들어요😃'), (20, 'join.u_s', '미국에 필요하신 거 있으신가요? 있다면 구경 오세요~😊 없어도 오셔서 한번 보고 가세요~😄'), (21, 'jangmi.jung', '@join.u_s 애슐리도있네요?^^👍')",2017-12-07 09:39,https://scontent-icn1-1.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/24331586_143422726313706_1328788629987786752_n.jpg,"'#쇼시즌', '#애견샴푸', '#컨디셔너', '#딥클렌징', '#보리를지켜주개', '#개딸', '#배보리', '#보물1호'"
eddielouis_official,".쇼시즌 블루베리향이 은은한 샴푸,컨디셔너,노린스코코넛폼입고되었습니다.온라인 오늘밤 업데이트됩니다.샴푸는 8:1컨디셔너는 10:1  희석해서 쓰시면 좋습니다.은은한 블루베리 풍선껌향이 너무 좋아 반했어요.#eddie&louis#애디앤루이스#에디앤루이스#프리미엄펫샵#애견쇼핑몰#수입애견용품#연남동#경의선숲길#연트럴파크#반려견#멍스타그램#애견샴푸#애견컨디셔너#애견목욕용품#쇼시즌",78,1,"(1, 'dclip_official', '굿굿!! 그뤠잇!!')",2017-12-07 08:29,https://scontent-icn1-1.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/24331586_143422726313706_1328788629987786752_n.jpg,"'#eddie', '#애디앤루이스', '#에디앤루이스', '#프리미엄펫샵', '#애견쇼핑몰', '#수입애견용품', '#연남동', '#경의선숲길', '#연트럴파크', '#반려견', '#멍스타그램', '#애견샴푸', '#애견컨디셔너', '#애견목욕용품', '#쇼시즌'"
